id,variable_afectada,descripcion_problema,registros_afectados,porcentaje,dimension_calidad,dimension_complementaria,nivel_impacto,evidencia
P13,clasificacion_riesgo,"Registros con clasificacion de riesgo pero sin el IRCA que la sustenta. La etiqueta existe sin el dato de origen, por lo que no es verificable ni reproducible.",265,2.04%,Consistencia,,Medio,265 registros (2.04%) con irca vacio y clasificacion_riesgo diligenciada
P14,municipio,"La columna mezcla dos niveles geograficos distintos: contiene municipios colombianos y tambien nombres de paises (Colombia, India, USA) en los registros de nivel global. Un mismo campo representa dos entidades diferentes, lo que impide unir la tabla consigo misma por territorio.",141,1.09%,Consistencia,,Medio,"141 registros (1.09%) de tipo_region='Global' donde 'municipio' almacena paises: ['Alemania', 'Argentina', 'Australia', 'Bolivia', 'Brasil', 'Chile']"
P15,cobertura_acueducto_pct,"La variable cambia de significado segun la fila: en los registros municipales es el porcentaje de cobertura de acueducto, y en los globales es el porcentaje de poblacion con acceso a agua potable segura (indicador ODS 6.1). Promediar la columna completa mezcla dos indicadores distintos.",141,1.09%,Consistencia,,Medio,141 registros globales con una definicion distinta a la de los 12848 registros municipales
P16,fecha (registros globales),Los registros globales son de periodicidad anual pero se les asigno la fecha ficticia 30 de junio para poder mezclarlos con los diarios. Esa fecha no corresponde a ninguna medicion real y no puede compararse contra las series diarias sin agregar primero.,141,1.09%,Consistencia,Granularidad,Medio,"141 registros globales concentrados en 8 fechas, una por ano"
P17,clasificacion_riesgo,Error ortografico en el nombre de la categoria: dice 'Inviabile sanitariamente' cuando la Resolucion 2115 de 2007 la define como 'Inviable sanitariamente'. Rompe la trazabilidad frente a la norma y el cruce por categoria con los datos del SIVICAP.,1073,8.26%,Exactitud,,Bajo,1073 registros (8.26%) con la categoria mal escrita
P18,irca,Valores atipicos detectados por el criterio del rango intercuartilico. Corresponden a municipios con IRCA muy alto que pueden ser casos reales de inviabilidad sanitaria o errores de digitacion; deben verificarse contra la fuente antes de descartarlos.,740,5.7%,Exactitud,,Medio,"740 registros (5.7%) fuera del rango [-17.97, 42.92], calculado como Q1-1.5*IQR y Q3+1.5*IQR"
P19,cobertura_acueducto_pct,"Valores atipicos de cobertura muy baja frente al resto del pais, concentrados en municipios apartados. Pueden ser reales, pero desvirtuan el promedio nacional si no se tratan de forma diferenciada.",362,2.79%,Exactitud,,Bajo,"362 registros (2.79%) fuera del rango [59.4, 117.8]. Minimo observado: 31.3%"
P20,temperatura_c,"Valores atipicos de temperatura respecto a la distribucion general, explicados por mezclar en una sola columna ciudades de clima frio (Bogota, Tunja) y calido (Leticia, Barranquilla) sin control por piso termico.",149,1.15%,Exactitud,,Bajo,"149 registros (1.15%) fuera del rango [2.35, 31.55]. Rango observado: 8.1C a 38.0C"
P21,fecha (conjunto completo),"El conjunto de datos esta desactualizado: la ultima observacion es del 2025-12-31 y el analisis se realiza el 2026-09-09, un rezago de 252 dias (8.3 meses). Para un proyecto cuyo proposito declarado es anticipar periodos de riesgo de desabastecimiento, un dato con ese rezago no permite emitir alertas operativas: describe una situacion que ya paso.",12424,95.65%,Actualidad,,Alto,max(fecha) = 2025-12-31; fecha de analisis = 2026-09-09; desfase = 252 dias. 12424 registros (95.65%) quedan fuera de la ventana de vigencia de 12 meses
P22,fecha (registros globales),"El nivel global es el mas rezagado de las tres escalas: su ultima observacion es del 2025-06-30, con 436 dias de desfase. La comparacion entre escalas termina contrastando periodos distintos.",141,1.09%,Actualidad,,Medio,"max(fecha) del nivel global = 2025-06-30, frente a 2025-12-31 del conjunto completo: 184 dias adicionales de rezago"
P23,Metadato ausente en el dataset,"El dataset no incluye ninguna variable que registre cuando fue capturado o actualizado cada dato (fecha_carga, fecha_actualizacion o version de la fuente). Sin ese metadato la vigencia solo puede inferirse de la fecha del evento, y es imposible auditar si una fuente dejo de actualizarse.",12989,100.0%,Actualidad,,Medio,"Ninguna de las 20 columnas registra fecha de captura o de actualizacion: ['fecha', 'anio', 'mes', 'periodo', 'sistema_abastecimiento', 'nivel_almacenamiento_pct', 'afluencias_m3s', 'precipitacion_mm', 'temperatura_c', 'consumo_m3s', 'irca', 'clasificacion_riesgo', 'municipio', 'departamento', 'latitud', 'longitud', 'cobertura_acueducto_pct', 'nivel_servicio', 'tipo_region', 'decision_racionamiento']"
